Seed,AvgExitRound,Count
1.0,5.75,4
2.0,3.25,4
3.0,3.75,4
4.0,2.5,4
5.0,2.25,4
6.0,1.5,4
7.0,2.0,4
8.0,1.5,4
9.0,3.25,4
10.0,1.25,4
11.0,1.5,4
12.0,1.0,4
13.0,1.5,4
14.0,1.5,4
15.0,1.0,4
16.0,1.0,4
