TeamName,Seed,Region,SimilarityPct,ChampionshipPct,CombinedScore
Houston,1,Champion,75.72749723500004,20.0,38.29099889400002
Houston,1,Final Four,75.72749723500004,20.0,38.29099889400002
Florida,1,Final Four,83.80507926015072,15.0,33.5220317040603
Duke,1,Final Four,79.81500494114705,15.0,31.92600197645882
Auburn,1,Final Four,63.6004792874961,10.0,25.44019171499844
